my card : Dame, D, carte Dame
my card : As, 1, carte As
my card : Sept, 7, carte 7
my card : Roi, R, carte Roi
my card : Huit, 8, carte 8
my card : Valet, V, carte Valet
my card : Dame, D, carte Dame
my card : Neuf, 9, carte 9
my card : Dix, 10, carte 10
my card : Roi, R, carte Roi
my card : Dix, 10, carte 10
my card : Valet, V, carte Valet
my card : Neuf, 9, carte 9
my card : Huit, 8, carte 8
my card : Dame, D, carte Dame
my card : Dix, 10, carte 10
my card : Dix, 10, carte 10
my card : Neuf, 9, carte 9
my card : Valet, V, carte Valet
my card : Sept, 7, carte 7
my card : Valet, V, carte Valet
my card : Dame, D, carte Dame
my card : As, 1, carte As
my card : Sept, 7, carte 7
my card : As, 1, carte As
my card : Roi, R, carte Roi
my card : Huit, 8, carte 8
my card : As, 1, carte As
my card : Roi, R, carte Roi
my card : Huit, 8, carte 8
my card : Sept, 7, carte 7
my card : Neuf, 9, carte 9
